Id,StageName,Status_Reason__c,RecordType.Name,RICE_Supported__c,CreatedDate,AccountId,Lead_Faculty__c,Parent_Opportunity__c,RecordType.Name.1,Industry,Business_Type__c,Is_External__c,ParentId,RecordType
0062e000002Hc2PAAS,0,Customer No Longer Interested,Custom Education (MSPACE Included),RIC-BD&I,2019,0012e000003AqeVAAS,0012e000002ZGfbAAG,0,Business Organization,Health,Multinational / Other Large Corporate,External,0,Custom Education (MSPACE Included)Business Organization
0062e000002HFaaAAG,1,Won,Parent Grant,RIC-RE&D,2018,0012e000003A6ElAAK,0,0,Business Organization,Public Administration,Government: Australia: Federal,External,1,Parent GrantBusiness Organization
0062e000002HFabAAG,1,Won,Parent Grant,RIC-RE&D,2018,0012e000003A6ElAAK,0,0,Business Organization,Public Administration,Government: Australia: Federal,External,1,Parent GrantBusiness Organization
0062e000002HFaiAAG,1,Won,Parent Grant,Not supported,2019,0012e000003A6bnAAC,0,0,Business Organization,Health,Government: Australia: Federal,External,0,Parent GrantBusiness Organization
0062e000002HFalAAG,1,Won,Parent Grant,RIC-RE&D,2017,0012e000003A6osAAC,0,0,Business Organization,Public Administration,Government: Australia: Federal,External,1,Parent GrantBusiness Organization
0062e000002HFavAAG,1,Won,Parent Grant,RIC-RE&D,2019,0012e000003A6VZAA0,0,1,Business Organization,Health,PFRO (Publicly-Funded Research Organisation),External,0,Parent GrantBusiness Organization
0062e000002HFawAAG,1,Won,Parent Grant,RIC-RE&D,2019,0012e000003A6VZAA0,0,1,Business Organization,Health,PFRO (Publicly-Funded Research Organisation),External,0,Parent GrantBusiness Organization
0062e000002HFaxAAG,1,Won,Parent Grant,RIC-RE&D,2019,0012e000003A6ElAAK,0,1,Business Organization,Public Administration,Government: Australia: Federal,External,1,Parent GrantBusiness Organization
0062e000002HFaZAAW,1,Won,Parent Grant,RIC-RE&D,2019,0012e000003A6osAAC,0,0,Business Organization,Public Administration,Government: Australia: Federal,External,1,Parent GrantBusiness Organization
0062e000002HFb0AAG,1,Won,Parent Grant,RIC-RE&D,2019,0012e000003A6bnAAC,0,1,Business Organization,Health,Government: Australia: Federal,External,0,Parent GrantBusiness Organization
0062e000002HFb3AAG,1,Won,Parent Grant,RIC-RE&D,2019,0012e000003A6bnAAC,0,1,Business Organization,Health,Government: Australia: Federal,External,0,Parent GrantBusiness Organization
0062e000002HFb4AAG,1,Won,Parent Grant,RIC-RE&D,2019,0012e000003A6bnAAC,0,1,Business Organization,Health,Government: Australia: Federal,External,0,Parent GrantBusiness Organization
0062e000002HFb6AAG,1,Won,Parent Grant,RIC-RE&D,2019,0012e000003A6VZAA0,0,1,Business Organization,Health,PFRO (Publicly-Funded Research Organisation),External,0,Parent GrantBusiness Organization
0062e000002HFb9AAG,1,Won,Parent Grant,RIC-RE&D,2019,0012e000003A6ElAAK,0,0,Business Organization,Public Administration,Government: Australia: Federal,External,1,Parent GrantBusiness Organization
0062e000002HFbDAAW,1,Won,Parent Grant,RIC-RE&D,2019,0012e000003A6ElAAK,0,0,Business Organization,Public Administration,Government: Australia: Federal,External,1,Parent GrantBusiness Organization
0062e000002HFbHAAW,1,Won,Parent Grant,RIC-RE&D,2019,0012e000003A6bnAAC,0,1,Business Organization,Health,Government: Australia: Federal,External,0,Parent GrantBusiness Organization
0062e000002HFbIAAW,1,Won,Parent Grant,RIC-RE&D,2019,0012e000003A6bnAAC,0,1,Business Organization,Health,Government: Australia: Federal,External,0,Parent GrantBusiness Organization
0062e000002HFbJAAW,1,Won,Parent Grant,RIC-RE&D,2019,0012e000003A6bnAAC,0,1,Business Organization,Health,Government: Australia: Federal,External,0,Parent GrantBusiness Organization
0062e000002HFtaAAG,0,Customer Not Responding,Research Contract,RIC RE&D and BD&I,2015,0,0,0,Business Organization,Services,Not for profit,,0,Research ContractBusiness Organization
0062e000002HFtAAAW,0,Other (Lost),Research Contract,Not supported,2016,0012e000003A6FtAAK,0012e000002ZmnzAAC,0,Business Organization,Energy & Utilities,SME (small to medium enterprise),External,0,Research ContractBusiness Organization
0062e000002HFtbAAG,0,Customer No Longer Interested,Research Contract,RIC RE&D and BD&I,2015,0,0,0,Business Organization,Services,Not for profit,,0,Research ContractBusiness Organization
0062e000002HFtBAAW,0,Other (Lost),Consultancy (Non-research),RIC RE&D and BD&I,2016,0012e000003A6vbAAC,0,0,Business Organization,Agriculture & Horticulture,Not for profit,External,0,Consultancy (Non-research)Business Organization
0062e000002HFtcAAG,0,Other (Lost),Research Contract,RIC RE&D and BD&I,2015,0,0,0,Business Organization,Services,Not for profit,,0,Research ContractBusiness Organization
0062e000002HFtCAAW,0,Customer No Longer Interested,Consultancy (Non-research),RIC RE&D and BD&I,2016,0012e000003A6vbAAC,0,0,Business Organization,Agriculture & Horticulture,Not for profit,External,0,Consultancy (Non-research)Business Organization
0062e000002HFtdAAG,0,Other (Lost),Research Contract,RIC-BD&I,2018,0,0012e000002ZGfbAAG,0,Business Organization,Services,Not for profit,,0,Research ContractBusiness Organization
