id,emails,calls,meetings,tasks,events,other,total_contacts,first_contact,first_month,three_month
0062e000002HFbIAAW,1,0,0,0,0,0,1,104,0,0
0062e000002HFuoAAG,1,0,0,0,0,0,1,123,0,0
0062e000002HFuPAAW,1,0,0,0,0,0,1,359,0,0
0062e000002HFuwAAG,2,0,0,0,0,0,2,84,0,1
0062e000002HFw7AAG,1,0,0,0,0,0,1,2,1,1
0062e000002HFwBAAW,1,0,0,0,0,0,1,448,0,0
0062e000002HFwCAAW,1,0,0,0,0,0,1,9,1,1
0062e000002HFwGAAW,1,0,0,0,0,0,1,1E+11,0,0
0062e000002HFwOAAW,2,0,0,0,0,0,2,8,1,1
0062e000002HFwsAAG,32,0,0,0,0,0,32,69,0,32
0062e000002HFzbAAG,1,0,0,0,0,0,1,0,1,1
0062e000002HFzMAAW,3,0,0,0,0,0,3,0,3,3
0062e000002HFzNAAW,2,0,0,0,0,0,2,0,2,2
0062e000002HFzOAAW,1,0,0,0,0,0,1,1,1,1
0062e000002HFzQAAW,4,0,0,0,0,0,4,1,4,4
0062e000002HFzRAAW,1,0,0,0,0,0,1,0,1,1
0062e000002HFzSAAW,5,0,0,0,0,0,5,0,5,5
0062e000002HFzUAAW,4,0,0,0,0,0,4,0,4,4
0062e000002HFzVAAW,1,0,0,0,0,0,1,0,1,1
0062e000002HFzWAAW,2,0,0,0,0,0,2,0,2,2
0062e000002HFzXAAW,1,0,0,0,0,0,1,0,1,1
0062e000002HFzYAAW,1,0,0,0,0,0,1,0,1,1
0062e000002HFzZAAW,1,0,0,0,0,0,1,0,1,1
0062e000002HG02AAG,16,0,0,0,0,0,16,2,16,16
0062e000002HG09AAG,1,0,0,0,0,0,1,116,0,0
0062e000002HG3KAAW,3,0,0,0,0,0,3,-10,2,3
0062e000002HG3LAAW,8,0,0,0,0,0,8,-22,6,8
0062e000002HG3MAAW,3,0,0,0,0,0,3,349,0,0
0062e000002HG3NAAW,3,0,0,0,0,0,3,-7,1,2
0062e000002HG3PAAW,5,0,0,0,0,0,5,-84,2,2
0062e000002HG3QAAW,3,0,0,0,0,0,3,162,0,0
0062e000002HG3RAAW,1,0,0,0,0,0,1,334,0,0
0062e000002HG3SAAW,1,0,0,0,0,0,1,558,0,0
0062e000002HG4JAAW,14,0,0,0,0,0,14,62,0,8
0062e000002HG5BAAW,1,0,0,0,0,0,1,1,1,1
0062e000002HG5CAAW,1,0,0,0,0,0,1,191,0,0
0062e000002HG5DAAW,1,0,0,0,0,0,1,0,1,1
0062e000002HG5EAAW,2,0,0,0,0,0,2,0,2,2
0062e000002HG5zAAG,3,0,0,0,0,0,3,869,0,0
0062e000002HG6xAAG,4,0,0,0,0,0,4,277,0,0
0062e000002HG71AAG,12,0,0,0,0,0,12,0,4,11
0062e000002HG75AAG,14,0,0,0,0,0,14,120,0,0
0062e000002HG7eAAG,22,0,0,0,0,0,22,1,5,12
0062e000002HG7FAAW,53,0,0,0,0,0,53,178,0,0
0062e000002HG7HAAW,3,0,0,0,0,0,3,735,0,0
0062e000002HG7zAAG,2,0,0,0,0,0,2,182,0,0
0062e000002HG87AAG,2,0,0,0,0,0,2,378,0,0
0062e000002HG8FAAW,3,0,0,0,0,0,3,53,0,3
0062e000002HG8kAAG,15,0,0,0,0,0,15,0,13,15
0062e000002HG8zAAG,9,0,0,0,0,0,9,1,4,4
0062e000002HG9fAAG,4,0,0,0,0,0,4,0,4,4
0062e000002HG9gAAG,2,0,0,0,0,0,2,0,2,2
0062e000002HG9KAAW,2,0,0,0,0,0,2,59,0,2
0062e000002HGbfAAG,11,0,0,0,0,0,11,-6,11,11
0062e000002HGbSAAW,1,0,0,0,0,0,1,426,0,0
0062e000002HGD0AAO,5,0,0,0,0,0,5,66,0,5
0062e000002HGD4AAO,11,0,0,0,0,0,11,996,0,0
0062e000002HGD6AAO,122,0,0,0,0,0,122,714,0,0
0062e000002HGD8AAO,14,0,0,0,0,0,14,0,14,14
0062e000002HGDfAAO,24,0,0,0,0,0,24,463,0,0
0062e000002HGdlAAG,1,0,0,0,0,0,1,193,0,0
0062e000002HGdmAAG,7,0,0,0,0,0,7,-41,7,7
0062e000002HGDpAAO,17,0,0,0,0,0,17,22,2,15
0062e000002HGdQAAW,16,0,0,0,0,0,16,-2,16,16
0062e000002HGDrAAO,5,0,0,0,0,0,5,77,0,4
0062e000002HGDxAAO,15,0,0,0,0,0,15,22,4,15
0062e000002HGe0AAG,8,0,0,0,0,0,8,41,0,7
0062e000002HGe2AAG,28,0,0,0,0,0,28,0,28,28
0062e000002HGe5AAG,1,0,0,0,0,0,1,30,0,1
0062e000002HGEaAAO,3,0,0,0,0,0,3,52,0,3
