id,RecordType.Name,RICE_Supported__c,Lead_Faculty__c,Lead_School__c,Parent_Opportunity__c,Industry,Industry_Sub_Type__c,Business_Type__c,Is_External__c,ParentId,tasks_events,CreatedYear,CreatedMonth,days,RN,f_won_before,RecordType.Name_cat,RICE_Supported__c_cat,Lead_Faculty__c_cat,Lead_School__c_cat,Industry_cat,Industry_Sub_Type__c_cat,Business_Type__c_cat
2902,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002Zt1RAAS,NotGiven,0,Services,Business & Professional,Multinational / Other Large Corporate,1,0,0,2017,11,62,12,0,3,1,12,46,14,6,5
4027,Research Contract,RIC RE&D and BD&I,0012e000002Zmo0AAC,NotGiven,0,Services,Community,Not for profit,1,0,0,2018,3,68,1,0,9,1,10,46,14,7,6
4304,Research Contract,RIC-BD&I,0012e000002ZLgJAAW,0012e000002Zt0YAAS,0,Health,Health Care & Healthy Aging,Government: Australia: Local & State,1,0,0,2018,11,99,1,0,9,2,4,26,8,21,2
2330,Technology Transfer,RIC RE&D and BD&I,0012e000002ZmnxAAC,0012e000002Z4JyAAK,1,Health,Health Care & Healthy Aging,Not for profit,1,0,0,2018,7,0,2,0,11,1,8,16,8,21,6
1617,Custom Education (MSPACE Included),RIC-BD&I,0012e000002Zmo0AAC,NotGiven,0,Services,Education,Not for profit,1,0,0,2019,8,255,7,1,3,2,10,46,14,12,6
666,Research Contract,RIC-BD&I,NotGiven,NotGiven,0,Services,Community,Not for profit,1,0,0,2019,10,77,4,0,9,2,15,46,14,7,6
5346,Competitive Bid,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Z3pPAAS,0,Defence,Defence,Government: Australia: Federal,1,0,0,2020,6,0,3,0,1,2,2,14,4,10,1
4063,Sponsorship,RIC-BD&I,0012e000002ZGfbAAG,NotGiven,0,Health,Biotechnology (non-Pharma),SME (small to medium enterprise),1,1,0,2018,10,109,2,0,10,2,1,46,8,5,9
1245,Research Contract,RIC-BD&I,0012e000002ZmnxAAC,0012e000002Z4JyAAK,1,Health,Biotechnology (non-Pharma),SME (small to medium enterprise),1,0,0,2018,8,636,5,1,9,2,8,16,8,5,9
4603,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002Zmo0AAC,NotGiven,0,Services,Education,Not for profit,1,0,0,2016,2,262,1,0,3,1,10,46,14,12,6
4048,Research Contract,RIC-BD&I,0012e000002ZLgJAAW,0012e000002Zt0YAAS,0,Services,Business & Professional,Large Australian Corporate,1,0,0,2017,4,654,1,0,9,2,4,26,14,6,4
2409,Grants,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Zt0cAAC,0,Energy & Utilities,Energy & Utilities,CRC (Co-operative Research Centre),1,0,0,2019,2,64,2,0,4,2,2,29,6,13,0
990,Research Contract,RIC RE&D and BD&I,0012e000002ZLg7AAG,0012e000002Z3pPAAS,0,Defence,Defence,Government: Australia: Federal,1,0,0,2017,11,110,102,1,9,1,2,14,4,10,1
841,Research Contract,RIC-BD&I,NotGiven,NotGiven,0,Services,Community,Government: Australia: Local & State,1,0,0,2018,12,168,1,0,9,2,15,46,14,7,2
3104,Research Contract,RIC RE&D and BD&I,0012e000002ZLg7AAG,0012e000002Zt0cAAC,0,Construction & Construction Materials,Construction & Construction Materials,Government: International,1,0,0,2017,4,24,1,0,9,1,2,29,3,8,3
1625,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002Zmo0AAC,NotGiven,0,Services,Education,Not for profit,1,0,0,2016,1,155,1,0,3,1,10,46,14,12,6
3065,Research Contract,RIC RE&D and BD&I,0012e000002ZLg7AAG,NotGiven,0,Defence,Defence,Government: Australia: Federal,1,0,0,2018,1,1,110,1,9,1,2,46,4,10,1
4343,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002Zt1RAAS,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,0,0,2019,7,0,7,1,3,1,12,46,13,27,1
4225,Grants,Not supported,0012e000002ZmOZAA0,0012e000002Z51eAAC,1,Public Administration,Public Administration,Government: Australia: Federal,1,0,0,2019,6,171,22,1,4,0,7,19,13,27,1
3567,Research Contract,RIC-BD&I,0012e000002Zmo0AAC,NotGiven,0,Public Administration,Public Administration,Government: International,1,0,0,2018,12,59,1,0,9,2,10,46,13,27,3
3526,Research Contract,RIC RE&D and BD&I,0012e000002ZmnxAAC,0012e000002YmMXAA0,0,Services,"Retail, Travel, Hospitality & Leisure",Multinational / Other Large Corporate,1,0,0,2016,8,205,1,0,9,1,8,4,14,29,5
5327,Research Contract,RIC-BD&I,0012e000002ZLgIAAW,NotGiven,0,Services,"Retail, Travel, Hospitality & Leisure",Multinational / Other Large Corporate,1,0,0,2020,6,42,1,0,9,2,3,46,14,29,5
1584,Research Contract,RIC RE&D and BD&I,0012e000002Zmo0AAC,NotGiven,0,Services,Education,Not for profit,1,0,0,2018,4,0,1,0,9,1,10,46,14,12,6
461,Grants,RIC-BD&I,0012e000002ZLgIAAW,NotGiven,0,Services,Entertainment & Creative Industries,SME (small to medium enterprise),1,0,0,2017,9,507,1,0,4,2,3,46,14,15,9
3520,Research Contract,RIC RE&D and BD&I,0012e000002ZGfbAAG,NotGiven,0,Health,Biotechnology (non-Pharma),Not for profit,1,0,0,2017,10,0,3,1,9,1,1,46,8,5,6
5295,Competitive Bid,RIC-RE&D,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Local & State,1,0,1,2020,5,15,6,0,1,3,15,46,13,27,2
2093,Research Contract,RIC-RE&D,NotGiven,NotGiven,0,Services,Engineering and Scientific,Multinational / Other Large Corporate,1,1,0,2018,10,616,2,0,9,3,15,46,14,14,5
