StageName,RecordType.Name,RICE_Supported__c,Lead_Faculty__c,Lead_School__c,Parent_Opportunity__c,Industry,Industry_Sub_Type__c,Business_Type__c,Is_External__c,ParentId,tasks_events,CreatedYear,CreatedMonth,year_length,oppo_busi,fac_oppo,oppo_Industry,RN,f_won_before
0,Custom Education (MSPACE Included),RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Health,Health Care & Healthy Aging,Multinational / Other Large Corporate,1,0,0,2019,11,1,Custom Education (MSPACE Included)Multinational / Other Large Corporate,0012e000002ZGfbAAGCustom Education (MSPACE Included),Custom Education (MSPACE Included)Health,1,0
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,0,2018,9,31,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantPublic Administration,10,1
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,0,2018,9,2,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantPublic Administration,9,1
1,Parent Grant,Not supported,NotGiven,NotGiven,0,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,0,2019,2,1,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantHealth,67,1
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,0,2017,4,3,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantPublic Administration,1,0
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,1,Health,Biotechnology (non-Pharma),PFRO (Publicly-Funded Research Organisation),1,0,0,2019,3,31,Parent GrantPFRO (Publicly-Funded Research Organisation),NotGivenParent Grant,Parent GrantHealth,2,0
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,1,Health,Biotechnology (non-Pharma),PFRO (Publicly-Funded Research Organisation),1,0,0,2019,8,1,Parent GrantPFRO (Publicly-Funded Research Organisation),NotGivenParent Grant,Parent GrantHealth,23,1
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,1,Public Administration,Public Administration,Government: Australia: Federal,1,1,0,2019,3,1,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantPublic Administration,12,1
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,0,2019,2,1,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantPublic Administration,7,1
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,1,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,0,2019,3,1,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantHealth,76,1
