StageName,RecordType.Name,RICE_Supported__c,Lead_Faculty__c,Lead_School__c,Parent_Opportunity__c,Industry,Industry_Sub_Type__c,Business_Type__c,Is_External__c,ParentId,CreatedYear,CreatedMonth,year_length,oppo_busi,fac_oppo,oppo_Industry
0,Custom Education (MSPACE Included),RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Health,Health Care & Healthy Aging,Multinational / Other Large Corporate,1,0,2019,11,1,Custom Education (MSPACE Included)Multinational / Other Large Corporate,0012e000002ZGfbAAGCustom Education (MSPACE Included),Custom Education (MSPACE Included)Health
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,2018,9,31,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantPublic Administration
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,2018,9,2,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantPublic Administration
1,Parent Grant,Not supported,NotGiven,NotGiven,0,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,2019,2,1,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantHealth
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,2017,4,3,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantPublic Administration
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,1,Health,Biotechnology (non-Pharma),PFRO (Publicly-Funded Research Organisation),1,0,2019,3,31,Parent GrantPFRO (Publicly-Funded Research Organisation),NotGivenParent Grant,Parent GrantHealth
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,1,Health,Biotechnology (non-Pharma),PFRO (Publicly-Funded Research Organisation),1,0,2019,8,1,Parent GrantPFRO (Publicly-Funded Research Organisation),NotGivenParent Grant,Parent GrantHealth
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,1,Public Administration,Public Administration,Government: Australia: Federal,1,1,2019,3,1,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantPublic Administration
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,2019,2,1,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantPublic Administration
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,1,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,2019,3,1,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantHealth
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,1,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,2019,3,1,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantHealth
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,1,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,2019,3,1,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantHealth
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,1,Health,Biotechnology (non-Pharma),PFRO (Publicly-Funded Research Organisation),1,0,2019,6,1,Parent GrantPFRO (Publicly-Funded Research Organisation),NotGivenParent Grant,Parent GrantHealth
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,2019,3,6,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantPublic Administration
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,2019,4,1,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantPublic Administration
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,1,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,2019,8,1,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantHealth
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,1,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,2019,4,1,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantHealth
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,1,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,2019,2,1,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantHealth
0,Research Contract,Not supported,0012e000002ZmnzAAC,NotGiven,0,Energy & Utilities,Energy & Utilities,SME (small to medium enterprise),1,0,2016,5,3,Research ContractSME (small to medium enterprise),0012e000002ZmnzAACResearch Contract,Research ContractEnergy & Utilities
0,Consultancy (Non-research),RIC RE&D and BD&I,NotGiven,NotGiven,0,Agriculture & Horticulture,Agriculture & Horticulture,Not for profit,1,0,2016,5,3,Consultancy (Non-research)Not for profit,NotGivenConsultancy (Non-research),Consultancy (Non-research)Agriculture & Horticulture
0,Consultancy (Non-research),RIC RE&D and BD&I,NotGiven,NotGiven,0,Agriculture & Horticulture,Agriculture & Horticulture,Not for profit,1,0,2016,5,3,Consultancy (Non-research)Not for profit,NotGivenConsultancy (Non-research),Consultancy (Non-research)Agriculture & Horticulture
0,Research Contract,RIC RE&D and BD&I,NotGiven,NotGiven,0,Agriculture & Horticulture,Agriculture & Horticulture,Not for profit,1,0,2016,5,3,Research ContractNot for profit,NotGivenResearch Contract,Research ContractAgriculture & Horticulture
0,Technology Transfer,RIC RE&D and BD&I,NotGiven,NotGiven,0,Mining & Refining,Mining & Refining,SME (small to medium enterprise),1,0,2016,4,3,Technology TransferSME (small to medium enterprise),NotGivenTechnology Transfer,Technology TransferMining & Refining
0,Research Contract,RIC RE&D and BD&I,NotGiven,NotGiven,0,Agriculture & Horticulture,Agriculture & Horticulture,PFRO (Publicly-Funded Research Organisation),1,0,2016,5,3,Research ContractPFRO (Publicly-Funded Research Organisation),NotGivenResearch Contract,Research ContractAgriculture & Horticulture
0,Research Contract,RIC RE&D and BD&I,NotGiven,NotGiven,0,Technology: IT & Telephone Services,Technology: IT & Telephone Services,SME (small to medium enterprise),1,1,2015,11,4,Research ContractSME (small to medium enterprise),NotGivenResearch Contract,Research ContractTechnology: IT & Telephone Services
0,Research Contract,RIC RE&D and BD&I,NotGiven,NotGiven,0,Services,Business & Professional,SME (small to medium enterprise),1,0,2016,5,3,Research ContractSME (small to medium enterprise),NotGivenResearch Contract,Research ContractServices
0,Consultancy (Non-research),RIC RE&D and BD&I,0012e000002ZmnxAAC,NotGiven,0,Manufacturing & R&D,Food & Beverage,Multinational / Other Large Corporate,1,0,2016,8,3,Consultancy (Non-research)Multinational / Other Large Corporate,0012e000002ZmnxAACConsultancy (Non-research),Consultancy (Non-research)Manufacturing & R&D
0,Research Contract,Not supported,0012e000002ZmnxAAC,0012e000002YmVtAAK,0,Services,Community,Not for profit,1,0,2019,3,0,Research ContractNot for profit,0012e000002ZmnxAACResearch Contract,Research ContractServices
0,Research Contract,Not supported,0012e000002ZLgIAAW,NotGiven,0,Services,Community,Not for profit,1,0,2019,3,0,Research ContractNot for profit,0012e000002ZLgIAAWResearch Contract,Research ContractServices
0,Research Contract,RIC-BD&I,0012e000002ZNYOAA4,0012e000002YmNRAA0,0,Services,Entertainment & Creative Industries,SME (small to medium enterprise),1,0,2019,1,0,Research ContractSME (small to medium enterprise),0012e000002ZNYOAA4Research Contract,Research ContractServices
0,Custom Education (MSPACE Included),RIC-BD&I,0012e000002ZmnzAAC,0012e000002Z3p1AAC,0,Health,Medical Devices,SME (small to medium enterprise),1,0,2017,11,3,Custom Education (MSPACE Included)SME (small to medium enterprise),0012e000002ZmnzAACCustom Education (MSPACE Included),Custom Education (MSPACE Included)Health
0,Custom Education (MSPACE Included),Not supported,0012e000002ZNYOAA4,0012e000002YlvyAAC,0,Services,Entertainment & Creative Industries,Government: International,1,0,2018,11,1,Custom Education (MSPACE Included)Government: International,0012e000002ZNYOAA4Custom Education (MSPACE Included),Custom Education (MSPACE Included)Services
0,Custom Education (MSPACE Included),Not supported,NotGiven,NotGiven,0,Services,Education,Not for profit,1,0,2018,6,2,Custom Education (MSPACE Included)Not for profit,NotGivenCustom Education (MSPACE Included),Custom Education (MSPACE Included)Services
0,Consultancy (Non-research),RIC RE&D and BD&I,0012e000002ZNYOAA4,0012e000002Z4oNAAS,0,Services,Community,Government: Australia: Local & State,1,0,2016,2,3,Consultancy (Non-research)Government: Australia: Local & State,0012e000002ZNYOAA4Consultancy (Non-research),Consultancy (Non-research)Services
0,Custom Education (MSPACE Included),RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Services,Engineering and Scientific,Not for profit,1,0,2017,9,3,Custom Education (MSPACE Included)Not for profit,0012e000002ZGfbAAGCustom Education (MSPACE Included),Custom Education (MSPACE Included)Services
0,Research Contract,RIC-BD&I,0012e000002ZNYOAA4,0012e000002YmNRAA0,0,Services,Engineering and Scientific,Government: Australia: Federal,1,0,2017,6,2,Research ContractGovernment: Australia: Federal,0012e000002ZNYOAA4Research Contract,Research ContractServices
0,Custom Education (MSPACE Included),RIC RE&D and BD&I,NotGiven,NotGiven,0,Services,Education,University,1,0,2018,6,0,Custom Education (MSPACE Included)University,NotGivenCustom Education (MSPACE Included),Custom Education (MSPACE Included)Services
0,Custom Education (MSPACE Included),RIC-BD&I,0012e000002ZNYOAA4,NotGiven,0,Services,Education,University,1,0,2017,8,3,Custom Education (MSPACE Included)University,0012e000002ZNYOAA4Custom Education (MSPACE Included),Custom Education (MSPACE Included)Services
0,Research Contract,RIC RE&D and BD&I,0012e000002ZNYOAA4,0012e000002Z3OuAAK,0,Manufacturing & R&D,Consumer Goods,SME (small to medium enterprise),1,0,2017,8,2,Research ContractSME (small to medium enterprise),0012e000002ZNYOAA4Research Contract,Research ContractManufacturing & R&D
0,Custom Education (MSPACE Included),RIC-BD&I,0012e000002ZLgJAAW,NotGiven,0,Services,Business & Professional,Multinational / Other Large Corporate,1,0,2017,9,3,Custom Education (MSPACE Included)Multinational / Other Large Corporate,0012e000002ZLgJAAWCustom Education (MSPACE Included),Custom Education (MSPACE Included)Services
0,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002ZNYOAA4,0012e000002YmNRAA0,0,Education,Education,Not for profit,0,1,2016,6,3,Custom Education (MSPACE Included)Not for profit,0012e000002ZNYOAA4Custom Education (MSPACE Included),Custom Education (MSPACE Included)Education
0,Custom Education (MSPACE Included),RIC-BD&I,0012e000002ZNYOAA4,NotGiven,0,Services,Education,PFRO (Publicly-Funded Research Organisation),1,0,2017,6,3,Custom Education (MSPACE Included)PFRO (Publicly-Funded Research Organisation),0012e000002ZNYOAA4Custom Education (MSPACE Included),Custom Education (MSPACE Included)Services
0,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002ZNYOAA4,0012e000002YmNRAA0,0,Education,Education,Not for profit,0,1,2017,5,2,Custom Education (MSPACE Included)Not for profit,0012e000002ZNYOAA4Custom Education (MSPACE Included),Custom Education (MSPACE Included)Education
0,Custom Education (MSPACE Included),RIC-BD&I,0012e000002ZmOZAA0,0012e000002Z51eAAC,0,Services,Education,University,1,0,2016,9,3,Custom Education (MSPACE Included)University,0012e000002ZmOZAA0Custom Education (MSPACE Included),Custom Education (MSPACE Included)Services
0,Research Contract,RIC RE&D and BD&I,0012e000002ZNYOAA4,0012e000002Z4IxAAK,0,Education,Education,Not for profit,0,1,2016,6,3,Research ContractNot for profit,0012e000002ZNYOAA4Research Contract,Research ContractEducation
0,Custom Education (MSPACE Included),RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt1FAAS,0,Services,Education,University,1,0,2016,7,4,Custom Education (MSPACE Included)University,0012e000002ZGfbAAGCustom Education (MSPACE Included),Custom Education (MSPACE Included)Services
0,Custom Education (MSPACE Included),Not supported,0012e000002ZNYOAA4,0012e000002Z3OuAAK,0,Education,Education,Not for profit,0,1,2018,1,1,Custom Education (MSPACE Included)Not for profit,0012e000002ZNYOAA4Custom Education (MSPACE Included),Custom Education (MSPACE Included)Education
0,Research Contract,RIC-BD&I,NotGiven,NotGiven,0,Services,Business & Professional,SME (small to medium enterprise),1,0,2018,6,1,Research ContractSME (small to medium enterprise),NotGivenResearch Contract,Research ContractServices
0,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002ZNYOAA4,0012e000002YlvyAAC,0,Education,Education,Not for profit,0,1,2017,4,2,Custom Education (MSPACE Included)Not for profit,0012e000002ZNYOAA4Custom Education (MSPACE Included),Custom Education (MSPACE Included)Education
