StageName,RecordType.Name,RICE_Supported__c,Actual_Close_Date__c,Lead_Faculty__c,Lead_School__c,Parent_Opportunity__c,Industry,Industry_Sub_Type__c,Business_Type__c,Is_External(1)__c,ParentId,CloseYear,CloseMonth,CreatedYear,CreatedMonth
0,Custom Education (MSPACE Included),RIC-BD&I,1,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Health,Health Care & Healthy Aging,Multinational / Other Large Corporate,1,0,2020,8,2019,11
1,Parent Grant,RIC-RE&D,0,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,2049,12,2018,9
1,Parent Grant,RIC-RE&D,1,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,2020,6,2018,9
1,Parent Grant,Not supported,1,NotGiven,NotGiven,0,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,2020,6,2019,2
1,Parent Grant,RIC-RE&D,1,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,2020,6,2017,4
1,Parent Grant,RIC-RE&D,1,NotGiven,NotGiven,1,Health,Biotechnology (non-Pharma),PFRO (Publicly-Funded Research Organisation),1,0,2050,12,2019,3
1,Parent Grant,RIC-RE&D,1,NotGiven,NotGiven,1,Health,Biotechnology (non-Pharma),PFRO (Publicly-Funded Research Organisation),1,0,2020,7,2019,8
1,Parent Grant,RIC-RE&D,1,NotGiven,NotGiven,1,Public Administration,Public Administration,Government: Australia: Federal,1,1,2020,4,2019,3
1,Parent Grant,RIC-RE&D,1,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,2020,6,2019,2
1,Parent Grant,RIC-RE&D,1,NotGiven,NotGiven,1,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,2020,2,2019,3
1,Parent Grant,RIC-RE&D,1,NotGiven,NotGiven,1,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,2020,3,2019,3
1,Parent Grant,RIC-RE&D,1,NotGiven,NotGiven,1,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,2020,6,2019,3
1,Parent Grant,RIC-RE&D,1,NotGiven,NotGiven,1,Health,Biotechnology (non-Pharma),PFRO (Publicly-Funded Research Organisation),1,0,2020,7,2019,6
1,Parent Grant,RIC-RE&D,1,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,2025,3,2019,3
1,Parent Grant,RIC-RE&D,1,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,2020,7,2019,4
1,Parent Grant,RIC-RE&D,1,NotGiven,NotGiven,1,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,2020,7,2019,8
