StageName,RecordType.Name,RICE_Supported__c,Actual_Close_Date__c,Lead_Faculty__c,Lead_School__c,Parent_Opportunity__c,RecordType.Name.1,Industry,Industry_Sub_Type__c,Business_Type__c,Is_External__c,ParentId,CloseYear,CloseMonth,CreatedYear,CreatedMonth,time_length
Closed,Parent Grant,NotGiven,0,NotGiven,NotGiven,0,Business Organization,Public Administration,,Government: Australia: Federal,1,1,2049,12,2016,7,33
Closed,Parent Grant,NotGiven,0,NotGiven,NotGiven,0,Business Organization,Public Administration,,Government: Australia: Federal,1,0,2049,12,2016,7,33
Closed,Parent Grant,NotGiven,0,NotGiven,NotGiven,0,Business Organization,Public Administration,,Government: Australia: Federal,1,0,2049,12,2017,4,32
Closed,Parent Grant,NotGiven,0,NotGiven,NotGiven,0,Business Organization,Energy & Utilities,,Government: Australia: Federal,1,1,2049,12,2017,6,32
Closed,Parent Grant,NotGiven,0,NotGiven,NotGiven,0,Business Organization,Health,Pharmaceuticals,Multinational / Other Large Corporate,1,0,2049,12,2017,11,32
Closed,Parent Grant,NotGiven,0,NotGiven,NotGiven,0,Business Organization,Agriculture & Horticulture,,Government: Australia: Local & State,1,0,2049,12,2016,8,33
Closed,Parent Grant,NotGiven,0,NotGiven,NotGiven,0,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,2049,12,2017,12,32
Closed,Parent Grant,NotGiven,0,NotGiven,NotGiven,0,Business Organization,Public Administration,,Government: Australia: Federal,1,1,2049,12,2017,2,32
Closed,Parent Grant,NotGiven,0,NotGiven,NotGiven,0,Business Organization,Public Administration,,Government: Australia: Federal,1,1,2049,12,2017,4,32
Closed,Parent Grant,NotGiven,0,NotGiven,NotGiven,0,Business Organization,Public Administration,,Government: Australia: Federal,1,1,2049,12,2016,9,33
Closed,Parent Grant,NotGiven,0,NotGiven,NotGiven,0,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,2049,12,2016,11,33
Closed,Parent Grant,NotGiven,0,NotGiven,NotGiven,0,Business Organization,Health,Pharmaceuticals,SME (small to medium enterprise),1,0,2049,12,2017,3,32
Closed,Parent Grant,NotGiven,0,NotGiven,NotGiven,0,Business Organization,Health,Pharmaceuticals,Large Australian Corporate,1,0,2049,12,2017,3,32
Closed,Parent Grant,NotGiven,0,NotGiven,NotGiven,0,Business Organization,Health,Pharmaceuticals,Multinational / Other Large Corporate,1,0,2049,12,2017,3,32
Closed,Parent Grant,NotGiven,0,NotGiven,NotGiven,0,Business Organization,Health,Pharmaceuticals,Multinational / Other Large Corporate,1,0,2049,12,2016,10,33
Closed,Parent Grant,NotGiven,0,NotGiven,NotGiven,0,Business Organization,Public Administration,,Government: Australia: Federal,1,1,2049,12,2016,7,33
Submitting,Parent Grant,NotGiven,0,NotGiven,NotGiven,0,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,2049,12,2019,6,30
Awaiting Results,Parent Grant,NotGiven,0,NotGiven,NotGiven,0,Business Organization,Public Administration,,Government: Australia: Federal,1,1,2049,12,2019,6,30
Closed,Parent Grant,NotGiven,1,NotGiven,NotGiven,0,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,2019,6,2019,3,0
Closed,Parent Grant,NotGiven,1,NotGiven,NotGiven,0,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,2018,2,2017,10,1
Closed,Parent Grant,NotGiven,1,NotGiven,NotGiven,0,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,2019,1,2017,10,2
Closed,Parent Grant,NotGiven,1,NotGiven,NotGiven,0,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,2018,9,2019,3,-1
Closed,Parent Grant,NotGiven,1,NotGiven,NotGiven,0,Business Organization,Health,Health Care & Healthy Aging,Not for profit,1,0,2019,4,2019,4,0
Closed,Parent Grant,NotGiven,1,NotGiven,NotGiven,0,Business Organization,Health,Health Care & Healthy Aging,Not for profit,1,0,2019,4,2019,4,0
Submitting,Parent Grant,RIC-RE&D,0,NotGiven,NotGiven,1,Business Organization,Public Administration,,Government: Australia: Federal,1,1,2049,12,2019,6,30
Awaiting Results,Parent Grant,RIC-RE&D,0,NotGiven,NotGiven,1,Business Organization,Public Administration,,Government: Australia: Federal,1,1,2049,12,2019,6,30
Awaiting Results,Parent Grant,RIC-RE&D,1,NotGiven,NotGiven,0,Business Organization,Public Administration,,Government: Australia: Federal,1,1,2020,6,2019,8,1
Awaiting Results,Parent Grant,NotGiven,0,NotGiven,NotGiven,0,Business Organization,Public Administration,,Government: Australia: Federal,1,1,2049,12,2019,7,30
Submitting,Parent Grant,NotGiven,0,NotGiven,NotGiven,0,Business Organization,Public Administration,,Government: Australia: Federal,1,1,2049,12,2019,5,30
Submitting,Parent Grant,NotGiven,0,NotGiven,NotGiven,0,Business Organization,Public Administration,,Government: Australia: Federal,1,1,2049,12,2019,5,30
Submitting,Parent Grant,NotGiven,0,NotGiven,NotGiven,0,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,2049,12,2019,4,30
Proposing,Custom Education (MSPACE Included),RIC-BD&I,0,0012e000002ZNYOAA4,0012e000002YmNRAA0,0,Business Organization,Services,Education,University,1,0,2020,10,2019,4,1
Identifying,Panel,Not supported,0,0012e000002ZNYOAA4,0012e000002YlvyAAC,0,Business Organization,Services,Entertainment & Creative Industries,Government: Australia: Local & State,1,0,2019,11,2019,7,0
Identifying,Grants,RIC-RE&D,0,0012e000002ZLg7AAG,0012e000002Zt0cAAC,0,Business Organization,Defence,,Multinational / Other Large Corporate,1,0,2019,12,2019,10,0
Awaiting Results,Grants,RIC-BD&I,1,0012e000002Zt1RAAS,0012e000002YnrYAAS,1,Business Organization,Services,Education,University,1,0,2020,1,2019,10,1
Developing,Custom Education (MSPACE Included),RIC-BD&I,0,0012e000002Zt1RAAS,0012e000002YnrYAAS,0,Business Organization,Public Administration,,Government: Australia: Local & State,1,1,2020,9,2019,10,1
Identifying,Technology Transfer,RIC-BD&I,0,0012e000002ZGfbAAG,NotGiven,0,Business Organization,Health,Biotechnology (non-Pharma),Multinational / Other Large Corporate,1,0,2021,1,2018,2,3
Identifying,Custom Education (MSPACE Included),RIC-BD&I,0,NotGiven,NotGiven,0,Business Organization,Services,Education,Not for profit,1,0,2021,6,2019,3,2
Identifying,Research Contract,Not supported,0,0012e000002ZLg7AAG,0012e000002Z3pPAAS,0,Business Organization,Manufacturing & R&D,Consumer Goods,SME (small to medium enterprise),1,0,2019,11,2018,6,1
Identifying,Research Contract,RIC-BD&I,0,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Business Organization,Health,Pharmaceuticals,Large Australian Corporate,1,0,2020,12,2018,11,2
Identifying,Research Contract,Not supported,0,0012e000002ZGfbAAG,0012e000002Z6AWAA0,0,Business Organization,Technology: IT & Telephone Services,,SME (small to medium enterprise),1,0,2021,6,2019,5,2
Identifying,Research Contract,Not supported,0,0012e000002ZGfbAAG,0012e000002Z6AWAA0,0,Business Organization,Technology: IT & Telephone Services,,SME (small to medium enterprise),1,0,2020,6,2019,5,1
Developing,Technology Transfer,RIC-BD&I,0,0012e000002ZGfbAAG,0012e000002Zt0nAAC,0,Business Organization,Technology: IT & Telephone Services,,Multinational / Other Large Corporate,1,0,2020,11,2018,11,2
Identifying,Technology Transfer,RIC-BD&I,0,0012e000002ZGfbAAG,0012e000002Zt0nAAC,0,Business Organization,Health,Medical Devices,SME (small to medium enterprise),1,0,2022,11,2018,7,4
Proposing,Research Contract,RIC-BD&I,1,0012e000002ZLg7AAG,0012e000002Z3pPAAS,0,Business Organization,Technology: IT & Telephone Services,,Not for profit,1,0,2020,5,2019,10,1
Developing,Research Contract,RIC-BD&I,1,0012e000002ZLgJAAW,0012e000002YoYUAA0,0,Business Organization,Agriculture & Horticulture,,Government: Australia: Federal,1,0,2020,12,2019,6,1
Identifying,Research Contract,Not supported,0,0012e000002ZGfbAAG,0012e000002Zt10AAC,0,Business Organization,Health,Research Tools/Consumables,Multinational / Other Large Corporate,1,0,2020,9,2017,12,3
Awaiting Results,Grants,Not supported,1,0012e000002ZGfbAAG,0012e000002Zt0mAAC,1,Business Organization,Health,Biotechnology (non-Pharma),PFRO (Publicly-Funded Research Organisation),1,0,2020,7,2019,10,1
Identifying,Technology Transfer,RIC-BD&I,0,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Business Organization,Technology: IT & Telephone Services,,Multinational / Other Large Corporate,1,0,2020,9,2017,3,3
Identifying,Technology Transfer,RIC-BD&I,0,0012e000002ZGfbAAG,0012e000002Zt21AAC,0,Business Organization,Health,Pharmaceuticals,Large Australian Corporate,1,0,2021,1,2018,11,3
Identifying,Research Contract,Not supported,0,NotGiven,NotGiven,0,Business Organization,Services,Business & Professional,SME (small to medium enterprise),1,0,2020,6,2018,2,2
Identifying,Research Contract,RIC-BD&I,0,0012e000002ZLg7AAG,0012e000002Zt0bAAC,0,Business Organization,Agriculture & Horticulture,,Large Australian Corporate,1,0,2020,12,2019,8,1
Identifying,Research Contract,RIC-BD&I,0,0012e000002ZLg7AAG,0012e000002Zt0bAAC,0,Business Organization,Agriculture & Horticulture,,Not for profit,1,0,2020,12,2017,9,3
Identifying,Research Contract,RIC-BD&I,0,0012e000002ZLg7AAG,0012e000002Zt0bAAC,0,Business Organization,Agriculture & Horticulture,,Government: Australia: Local & State,1,0,2021,2,2019,3,2
Identifying,Research Contract,RIC-BD&I,0,0012e000002ZLg7AAG,0012e000002Zt0cAAC,0,Business Organization,Manufacturing & R&D,"Automobiles, Heavy Vehicles & Industrial Machinery",SME (small to medium enterprise),1,1,2021,12,2018,9,3
Identifying,Research Contract,RIC-BD&I,0,0012e000002ZLg7AAG,0012e000002Zt0cAAC,0,Business Organization,Manufacturing & R&D,"Automobiles, Heavy Vehicles & Industrial Machinery",SME (small to medium enterprise),1,1,2020,12,2018,9,2
Identifying,Research Contract,RIC-BD&I,0,0012e000002ZLg7AAG,0012e000002Zt0cAAC,0,Business Organization,Technology: IT & Telephone Services,,Large Australian Corporate,1,0,2020,12,2019,2,1
Identifying,Research Contract,RIC-BD&I,0,0012e000002ZLg7AAG,0012e000002Zt0cAAC,0,Business Organization,Technology: IT & Telephone Services,,Large Australian Corporate,1,0,2020,12,2019,3,1
Identifying,Research Contract,Not supported,0,0012e000002ZLg7AAG,0012e000002Z3pPAAS,0,Business Organization,Technology: IT & Telephone Services,,Large Australian Corporate,1,0,2020,12,2019,2,1
Identifying,Research Contract,Not supported,0,0012e000002ZNYOAA4,0012e000002YmNRAA0,0,Business Organization,Services,Community,Not for profit,1,0,2019,11,2019,3,0
Identifying,Research Contract,Not supported,0,0012e000002ZNYOAA4,0012e000002YmNRAA0,0,Business Organization,Services,Community,Not for profit,1,0,2019,11,2019,3,0
Develop Relationship/ Qualify opportunity,Co-Location,RIC-RE&D,0,NotGiven,NotGiven,0,Business Organization,Services,Financial & Insurance,Multinational / Other Large Corporate,1,1,2020,7,2019,7,1
Develop Relationship/ Qualify opportunity,Co-Location,RIC-RE&D,0,NotGiven,NotGiven,0,Business Organization,Mining & Refining,,Large Australian Corporate,1,0,2020,11,2019,10,1
Execution / Closing,Co-Location,RIC-RE&D,1,NotGiven,NotGiven,0,Business Organization,Services,Entertainment & Creative Industries,SME (small to medium enterprise),1,0,2020,11,2019,10,1
Execution / Closing,Co-Location,Not supported,0,NotGiven,NotGiven,0,Business Organization,Services,Business & Professional,Multinational / Other Large Corporate,1,0,2020,5,2019,7,1
