Opportunity Id,Predict classisication,Win Probability
0062e000002HFauAAG,Win,0.67826087
0062e000002HFayAAG,Win,0.626086957
0062e000002HFbAAAW,Win,0.617391304
0062e000002HFbBAAW,Win,0.660869565
0062e000002HFbCAAW,Win,0.660869565
0062e000002HFbEAAW,Win,0.634782609
0062e000002HFbFAAW,Win,0.626086957
0062e000002HFbGAAW,Win,0.617391304
0062e000002HFbKAAW,Win,0.617391304
0062e000002HFtlAAG,Win,0.565217391
0062e000002HFuKAAW,Lose,0.408695652
0062e000002HFuNAAW,Win,0.556521739
0062e000002HFupAAG,Win,0.556521739
0062e000002HFuvAAG,Win,0.608695652
0062e000002HFvbAAG,Lose,0.382608696
0062e000002HFviAAG,Lose,0.495652174
0062e000002HFvZAAW,Win,0.556521739
0062e000002HFw3AAG,Win,0.547826087
0062e000002HFw8AAG,Win,0.626086957
0062e000002HFw9AAG,Win,0.652173913
0062e000002HFwBAAW,Win,0.626086957
0062e000002HFwHAAW,Win,0.565217391
0062e000002HFwOAAW,Win,0.626086957
0062e000002HFwsAAG,Win,0.669565217
0062e000002HFxeAAG,Win,0.565217391
0062e000002HFxNAAW,Win,0.504347826
0062e000002HFxZAAW,Win,0.608695652
0062e000002HFy1AAG,Lose,0.460869565
0062e000002HFzEAAW,Lose,0.365217391
0062e000002HFzhAAG,Win,0.573913043
0062e000002HFzjAAG,Lose,0.486956522
0062e000002HFzqAAG,Lose,0.495652174
0062e000002HG0LAAW,Win,0.52173913
0062e000002HG0MAAW,Lose,0.417391304
0062e000002HG10AAG,Win,0.504347826
0062e000002HG11AAG,Lose,0.486956522
0062e000002HG12AAG,Win,0.504347826
0062e000002HG3HAAW,Lose,0.173913043
0062e000002HG3IAAW,Lose,0.191304348
0062e000002HG3MAAW,Lose,0.373913043
0062e000002HG3NAAW,Lose,0.417391304
0062e000002HG3PAAW,Lose,0.426086957
0062e000002HG3QAAW,Lose,0.417391304
0062e000002HG3RAAW,Lose,0.434782609
0062e000002HG3SAAW,Lose,0.460869565
0062e000002HG3UAAW,Lose,0.486956522
0062e000002HG3wAAG,Lose,0.495652174
0062e000002HG44AAG,Win,0.652173913
0062e000002HG4JAAW,Win,0.504347826
0062e000002HG52AAG,Win,0.547826087
0062e000002HG60AAG,Lose,0.443478261
0062e000002HG62AAG,Lose,0.408695652
0062e000002HG67AAG,Win,0.6
0062e000002HG6BAAW,Lose,0.4
0062e000002HG6GAAW,Lose,0.382608696
0062e000002HG6NAAW,Win,0.52173913
0062e000002HG6QAAW,Lose,0.47826087
0062e000002HG6xAAG,Lose,0.47826087
0062e000002HG7BAAW,Win,0.513043478
0062e000002HG7HAAW,Lose,0.426086957
0062e000002HG89AAG,Win,0.565217391
0062e000002HG8zAAG,Win,0.573913043
0062e000002HG9bAAG,Lose,0.286956522
0062e000002HG9cAAG,Lose,0.391304348
0062e000002HGA5AAO,Lose,0.47826087
0062e000002HGAJAA4,Lose,0.495652174
0062e000002HGbSAAW,Lose,0.47826087
0062e000002HGC0AAO,Lose,0.460869565
0062e000002HGc3AAG,Lose,0.408695652
0062e000002HGcbAAG,Lose,0.391304348
0062e000002HGccAAG,Lose,0.495652174
0062e000002HGcdAAG,Lose,0.347826087
0062e000002HGcfAAG,Lose,0.469565217
0062e000002HGcjAAG,Lose,0.382608696
0062e000002HGcTAAW,Lose,0.434782609
0062e000002HGD4AAO,Lose,0.426086957
0062e000002HGD6AAO,Win,0.513043478
0062e000002HGDpAAO,Lose,0.495652174
0062e000002HGDqAAO,Lose,0.452173913
0062e000002HGdsAAG,Lose,0.391304348
0062e000002HGDWAA4,Lose,0.47826087
0062e000002HGDwAAO,Lose,0.47826087
0062e000002HGDxAAO,Lose,0.382608696
0062e000002HGe4AAG,Win,0.504347826
0062e000002HGe5AAG,Lose,0.486956522
0062e000002HGEaAAO,Lose,0.469565217
0062e000002HGeCAAW,Win,0.6
0062e000002HGedAAG,Win,0.52173913
0062e000002HGeEAAW,Lose,0.408695652
0062e000002HGeGAAW,Lose,0.4
0062e000002HGeKAAW,Lose,0.469565217
0062e000002HGenAAG,Lose,0.408695652
0062e000002HGeTAAW,Lose,0.426086957
0062e000002HGeuAAG,Lose,0.373913043
0062e000002HGevAAG,Lose,0.486956522
0062e000002HGeVAAW,Win,0.513043478
0062e000002HGeyAAG,Lose,0.443478261
0062e000002HGf0AAG,Lose,0.47826087
0062e000002HGf2AAG,Lose,0.460869565
0062e000002HGF7AAO,Lose,0.434782609
0062e000002HGFaAAO,Lose,0.382608696
0062e000002HGfAAAW,Lose,0.408695652
0062e000002HGFeAAO,Lose,0.452173913
0062e000002HGfEAAW,Lose,0.452173913
0062e000002HGflAAG,Lose,0.391304348
0062e000002HGfmAAG,Lose,0.391304348
0062e000002HGfoAAG,Lose,0.426086957
0062e000002HGfpAAG,Lose,0.391304348
0062e000002HGfPAAW,Lose,0.408695652
0062e000002HGfqAAG,Lose,0.495652174
0062e000002HGftAAG,Lose,0.382608696
0062e000002HGfuAAG,Lose,0.382608696
0062e000002HGfyAAG,Lose,0.365217391
0062e000002HGfYAAW,Lose,0.426086957
0062e000002HGg2AAG,Win,0.6
0062e000002HGg3AAG,Lose,0.499130435
0062e000002HGg4AAG,Lose,0.373913043
0062e000002HGG4AAO,Lose,0.460869565
0062e000002HGg6AAG,Lose,0.495652174
0062e000002HGg7AAG,Lose,0.486956522
0062e000002HGg8AAG,Lose,0.365217391
0062e000002HGg9AAG,Win,0.556521739
0062e000002HGgAAAW,Win,0.504347826
0062e000002HGgIAAW,Lose,0.391304348
0062e000002HGgOAAW,Lose,0.443478261
0062e000002HGgpAAG,Lose,0.469565217
0062e000002HGh2AAG,Lose,0.32173913
0062e000002HGh4AAG,Lose,0.460869565
0062e000002HGhcAAG,Lose,0.469565217
0062e000002HGhiAAG,Lose,0.434782609
0062e000002HGhLAAW,Lose,0.443478261
0062e000002HGHOAA4,Lose,0.182608696
0062e000002HGHPAA4,Lose,0.147826087
0062e000002HGHQAA4,Lose,0.130434783
0062e000002HGHRAA4,Lose,0.173913043
0062e000002HGHUAA4,Lose,0.217391304
0062e000002HGHVAA4,Win,0.643478261
0062e000002HGhZAAW,Lose,0.443478261
0062e000002HGI2AAO,Lose,0.4
0062e000002HGI3AAO,Lose,0.356521739
0062e000002HGIAAA4,Lose,0.426086957
0062e000002HGIDAA4,Lose,0.4
0062e000002HGifAAG,Lose,0.339130435
0062e000002HGIfAAO,Lose,0.347826087
0062e000002HGijAAG,Lose,0.347826087
0062e000002HGimAAG,Lose,0.304347826
0062e000002HGipAAG,Lose,0.304347826
0062e000002HGjEAAW,Lose,0.365217391
0062e000002HGjkAAG,Lose,0.307826087
0062e000002HGM6AAO,Lose,0.4
0062e000002HGM7AAO,Lose,0.365217391
0062e000002HGM9AAO,Lose,0.365217391
0062e000002HGMAAA4,Lose,0.356521739
0062e000002HGMBAA4,Lose,0.4
0062e000002HGMFAA4,Lose,0.382608696
0062e000002HGMHAA4,Lose,0.27826087
0062e000002HGMKAA4,Lose,0.373913043
0062e000002HGMLAA4,Lose,0.373913043
0062e000002HGMMAA4,Lose,0.347826087
0062e000002HGMNAA4,Win,0.565217391
0062e000002HGNBAA4,Lose,0.426086957
0062e000002HGNdAAO,Lose,0.391304348
0062e000002HGnqAAG,Lose,0.365217391
0062e000002HGo2AAG,Lose,0.417391304
0062e000002HGO2AAO,Lose,0.426086957
0062e000002HGO3AAO,Lose,0.313043478
0062e000002HGO5AAO,Lose,0.234782609
0062e000002HGO6AAO,Lose,0.252173913
0062e000002HGO8AAO,Lose,0.382608696
0062e000002HGoCAAW,Lose,0.486956522
0062e000002HGOjAAO,Lose,0.373913043
0062e000002HGOlAAO,Lose,0.426086957
0062e000002HGOoAAO,Lose,0.356521739
0062e000002HGoRAAW,Lose,0.434782609
