Id,StageName,RecordType.Name,RICE_Supported__c,Created_year,Crated_month,Close_year,Close_month,AccountId,Lead_Faculty__c,Parent_Opportunity__c,RecordType.Name.1,Industry,Business_Type__c,Is_External__c,ParentId
0062e000002Hc2PAAS,Closed Lost,Custom Education (MSPACE Included),RIC-BD&I,2019,11,1931,8,0012e000003AqeVAAS,0012e000002ZGfbAAG,,Business Organization,Health,Multinational / Other Large Corporate,External,
0062e000002HFaaAAG,Post Award,Parent Grant,RIC-RE&D,2018,09,1931,12,0012e000003A6ElAAK,,,Business Organization,Public Administration,Government: Australia: Federal,External,0012e000003A6osAAC
0062e000002HFabAAG,Post Award,Parent Grant,RIC-RE&D,2018,09,2022,6,0012e000003A6ElAAK,,,Business Organization,Public Administration,Government: Australia: Federal,External,0012e000003A6osAAC
0062e000002HFacAAG,Closed,Parent Grant,,2016,07,1931,12,0012e000003A6osAAC,,,Business Organization,Public Administration,Government: Australia: Federal,External,0012e000003A6FfAAK
0062e000002HFadAAG,Closed,Parent Grant,,2016,07,1931,12,0012e000003A79XAAS,,,Business Organization,Public Administration,Government: Australia: Federal,External,
0062e000002HFaeAAG,Closed,Parent Grant,,2017,04,1931,12,0012e000003A79XAAS,,,Business Organization,Public Administration,Government: Australia: Federal,External,
0062e000002HFafAAG,Closed,Parent Grant,,2017,06,1931,12,0012e000003A6hbAAC,,,Business Organization,Energy & Utilities,Government: Australia: Federal,External,0012e000003A6FfAAK
0062e000002HFagAAG,Closed,Parent Grant,,2017,11,1931,12,0012e000003A6jLAAS,,,Business Organization,Health,Multinational / Other Large Corporate,External,
0062e000002HFahAAG,Closed,Parent Grant,,2016,08,1931,12,0012e000003A6MsAAK,,,Business Organization,Agriculture & Horticulture,Government: Australia: Local & State,External,
0062e000002HFaiAAG,Post Award,Parent Grant,Not supported,2019,02,2016,6,0012e000003A6bnAAC,,,Business Organization,Health,Government: Australia: Federal,External,
