,AccountID,AccountType,Industry,BusinessType,Country,Internal_External,f_parent
0,0012e000002YeO0AAK,University Department,Education,Not for profit,Australia,Internal,0
1,0012e000002YlXfAAK,University Department,Education,Not for profit,Australia,Internal,1
2,0012e000002YlhnAAC,University Department,Education,Not for profit,Australia,Internal,1
3,0012e000002YlvyAAC,University Department,Education,Not for profit,Australia,Internal,1
4,0012e000002YlvyAAC,University Department,Education,Not for profit,Australia,Internal,1
5,0012e000002Ym9QAAS,University Department,Education,Not for profit,Australia,Internal,1
6,0012e000002YmBqAAK,University Department,Education,Not for profit,Australia,Internal,1
7,0012e000002YmMXAA0,University Department,Education,Not for profit,Australia,Internal,1
8,0012e000002YmNRAA0,University Department,Education,Not for profit,Australia,Internal,1
9,0012e000002YmNRAA0,University Department,Education,Not for profit,Australia,Internal,1
10,0012e000002YmVtAAK,University Department,Education,Not for profit,Australia,Internal,1
11,0012e000002YnERAA0,University Department,Education,Not for profit,Australia,Internal,1
12,0012e000002YneJAAS,University Department,Education,Not for profit,Australia,Internal,1
13,0012e000002YnfFAAS,University Department,Education,Not for profit,Australia,Internal,1
14,0012e000002YnjNAAS,University Department,Education,Not for profit,Australia,Internal,1
15,0012e000002YnrYAAS,University Department,Education,Not for profit,Australia,Internal,1
16,0012e000002YnrYAAS,University Department,Education,Not for profit,Australia,Internal,1
17,0012e000002YnsbAAC,University Department,Education,Not for profit,Australia,Internal,1
18,0012e000002YoWTAA0,University Department,Education,Not for profit,Australia,Internal,1
19,0012e000002YoY7AAK,University Department,Education,Not for profit,Australia,Internal,1
20,0012e000002YoYUAA0,University Department,Education,Not for profit,Australia,Internal,1
21,0012e000002Z35nAAC,University Department,Education,Not for profit,Australia,Internal,1
22,0012e000002Z3OuAAK,University Department,Education,Not for profit,Australia,Internal,1
23,0012e000002Z3OuAAK,University Department,Education,Not for profit,Australia,Internal,1
24,0012e000002Z3p1AAC,University Department,Education,Not for profit,Australia,Internal,1
25,0012e000002Z3pPAAS,University Department,Education,Not for profit,Australia,Internal,1
26,0012e000002Z3pPAAS,University Department,Education,Not for profit,Australia,Internal,1
27,0012e000002Z4IxAAK,University Department,Education,Not for profit,Australia,Internal,1
28,0012e000002Z4IxAAK,University Department,Education,Not for profit,Australia,Internal,1
29,0012e000002Z4JyAAK,University Department,Education,Not for profit,Australia,Internal,1
30,0012e000002Z4oNAAS,University Department,Education,Not for profit,Australia,Internal,1
31,0012e000002Z4oNAAS,University Department,Education,Not for profit,Australia,Internal,1
32,0012e000002Z4wCAAS,University Department,Education,Not for profit,Australia,Internal,1
