StageName,RecordType.Name,RICE_Supported__c,Lead_Faculty__c,Lead_School__c,Parent_Opportunity__c,Industry,Industry_Sub_Type__c,Business_Type__c,Is_External__c,ParentId,tasks_events,CreatedYear,CreatedMonth,days,oppo_busi,fac_oppo,oppo_Industry,RN,f_won_before
0,Custom Education (MSPACE Included),RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Health,Health Care & Healthy Aging,Multinational / Other Large Corporate,1,0,0,2019,11,175,Custom Education (MSPACE Included)Multinational / Other Large Corporate,0012e000002ZGfbAAGCustom Education (MSPACE Included),Custom Education (MSPACE Included)Health,1,0
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,0,2018,9,1000,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantPublic Administration,10,1
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,0,2018,9,642,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantPublic Administration,9,1
1,Parent Grant,Not supported,NotGiven,NotGiven,0,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,0,2019,2,489,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantHealth,67,1
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,0,2017,4,1172,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantPublic Administration,1,0
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,1,Health,Biotechnology (non-Pharma),PFRO (Publicly-Funded Research Organisation),1,0,0,2019,3,1000,Parent GrantPFRO (Publicly-Funded Research Organisation),NotGivenParent Grant,Parent GrantHealth,2,0
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,1,Health,Biotechnology (non-Pharma),PFRO (Publicly-Funded Research Organisation),1,0,0,2019,8,321,Parent GrantPFRO (Publicly-Funded Research Organisation),NotGivenParent Grant,Parent GrantHealth,23,1
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,1,Public Administration,Public Administration,Government: Australia: Federal,1,1,0,2019,3,38,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantPublic Administration,12,1
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,0,2019,2,350,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantPublic Administration,7,1
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,1,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,0,2019,3,349,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantHealth,76,1
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,1,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,0,2019,3,361,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantHealth,79,1
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,1,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,0,2019,3,146,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantHealth,77,1
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,1,Health,Biotechnology (non-Pharma),PFRO (Publicly-Funded Research Organisation),1,0,0,2019,6,391,Parent GrantPFRO (Publicly-Funded Research Organisation),NotGivenParent Grant,Parent GrantHealth,13,1
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,0,2019,3,2190,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantPublic Administration,16,1
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,0,2019,4,440,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantPublic Administration,17,1
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,1,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,0,2019,8,320,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantHealth,97,1
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,1,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,1,2019,4,148,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantHealth,91,1
1,Parent Grant,RIC-RE&D,NotGiven,NotGiven,1,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,0,2019,2,56,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantHealth,65,1
0,Research Contract,Not supported,0012e000002ZmnzAAC,NotGiven,0,Energy & Utilities,Energy & Utilities,SME (small to medium enterprise),1,0,0,2016,5,48,Research ContractSME (small to medium enterprise),0012e000002ZmnzAACResearch Contract,Research ContractEnergy & Utilities,2,0
0,Consultancy (Non-research),RIC RE&D and BD&I,NotGiven,NotGiven,0,Agriculture & Horticulture,Agriculture & Horticulture,Not for profit,1,0,0,2016,5,32,Consultancy (Non-research)Not for profit,NotGivenConsultancy (Non-research),Consultancy (Non-research)Agriculture & Horticulture,3,0
0,Consultancy (Non-research),RIC RE&D and BD&I,NotGiven,NotGiven,0,Agriculture & Horticulture,Agriculture & Horticulture,Not for profit,1,0,0,2016,5,24,Consultancy (Non-research)Not for profit,NotGivenConsultancy (Non-research),Consultancy (Non-research)Agriculture & Horticulture,2,0
0,Research Contract,RIC RE&D and BD&I,NotGiven,NotGiven,0,Agriculture & Horticulture,Agriculture & Horticulture,Not for profit,1,0,0,2016,5,42,Research ContractNot for profit,NotGivenResearch Contract,Research ContractAgriculture & Horticulture,1,0
0,Technology Transfer,RIC RE&D and BD&I,NotGiven,NotGiven,0,Mining & Refining,Mining & Refining,SME (small to medium enterprise),1,0,0,2016,4,117,Technology TransferSME (small to medium enterprise),NotGivenTechnology Transfer,Technology TransferMining & Refining,1,0
0,Research Contract,RIC RE&D and BD&I,NotGiven,NotGiven,0,Agriculture & Horticulture,Agriculture & Horticulture,PFRO (Publicly-Funded Research Organisation),1,0,0,2016,5,41,Research ContractPFRO (Publicly-Funded Research Organisation),NotGivenResearch Contract,Research ContractAgriculture & Horticulture,1,0
0,Research Contract,RIC RE&D and BD&I,NotGiven,NotGiven,0,Technology: IT & Telephone Services,Technology: IT & Telephone Services,SME (small to medium enterprise),1,1,0,2015,11,49,Research ContractSME (small to medium enterprise),NotGivenResearch Contract,Research ContractTechnology: IT & Telephone Services,1,0
0,Research Contract,RIC RE&D and BD&I,NotGiven,NotGiven,0,Services,Business & Professional,SME (small to medium enterprise),1,0,0,2016,5,48,Research ContractSME (small to medium enterprise),NotGivenResearch Contract,Research ContractServices,1,0
