StageName,RecordType.Name,RICE_Supported__c,CreatedDate,Actual_Close_Date__c,Lead_Faculty__c,Lead_School__c,Parent_Opportunity__c,RecordType.Name.1,Industry,Industry_Sub_Type__c,Business_Type__c,Is_External__c,ParentId,CreatedYear,CreatedMonth
0,Custom Education (MSPACE Included),RIC-BD&I,2019-11-07T00:59:46.000Z,1,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Business Organization,Health,Health Care & Healthy Aging,Multinational / Other Large Corporate,1,0,2019,11
1,Parent Grant,RIC-RE&D,2018-09-19T04:32:55.000Z,0,NotGiven,NotGiven,0,Business Organization,Public Administration,Public Administration,Government: Australia: Federal,1,1,2018,9
1,Parent Grant,RIC-RE&D,2018-09-19T04:32:19.000Z,1,NotGiven,NotGiven,0,Business Organization,Public Administration,Public Administration,Government: Australia: Federal,1,1,2018,9
1,Parent Grant,Not supported,2019-02-13T19:41:22.000Z,1,NotGiven,NotGiven,0,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,2019,2
1,Parent Grant,RIC-RE&D,2017-04-07T01:27:08.000Z,1,NotGiven,NotGiven,0,Business Organization,Public Administration,Public Administration,Government: Australia: Federal,1,1,2017,4
1,Parent Grant,RIC-RE&D,2019-03-11T23:18:09.000Z,1,NotGiven,NotGiven,1,Business Organization,Health,Biotechnology (non-Pharma),PFRO (Publicly-Funded Research Organisation),1,0,2019,3
1,Parent Grant,RIC-RE&D,2019-08-15T23:55:19.000Z,1,NotGiven,NotGiven,1,Business Organization,Health,Biotechnology (non-Pharma),PFRO (Publicly-Funded Research Organisation),1,0,2019,8
1,Parent Grant,RIC-RE&D,2019-03-05T02:27:30.000Z,1,NotGiven,NotGiven,1,Business Organization,Public Administration,Public Administration,Government: Australia: Federal,1,1,2019,3
1,Parent Grant,RIC-RE&D,2019-02-15T05:55:58.000Z,1,NotGiven,NotGiven,0,Business Organization,Public Administration,Public Administration,Government: Australia: Federal,1,1,2019,2
1,Parent Grant,RIC-RE&D,2019-03-06T00:31:13.000Z,1,NotGiven,NotGiven,1,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,2019,3
1,Parent Grant,RIC-RE&D,2019-03-07T04:24:52.000Z,1,NotGiven,NotGiven,1,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,2019,3
1,Parent Grant,RIC-RE&D,2019-03-07T04:25:49.000Z,1,NotGiven,NotGiven,1,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,2019,3
1,Parent Grant,RIC-RE&D,2019-06-27T02:24:12.000Z,1,NotGiven,NotGiven,1,Business Organization,Health,Biotechnology (non-Pharma),PFRO (Publicly-Funded Research Organisation),1,0,2019,6
1,Parent Grant,RIC-RE&D,2019-03-31T22:51:29.000Z,1,NotGiven,NotGiven,0,Business Organization,Public Administration,Public Administration,Government: Australia: Federal,1,1,2019,3
1,Parent Grant,RIC-RE&D,2019-04-18T05:14:08.000Z,1,NotGiven,NotGiven,0,Business Organization,Public Administration,Public Administration,Government: Australia: Federal,1,1,2019,4
1,Parent Grant,RIC-RE&D,2019-08-16T00:30:42.000Z,1,NotGiven,NotGiven,1,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,2019,8
1,Parent Grant,RIC-RE&D,2019-04-18T05:20:48.000Z,1,NotGiven,NotGiven,1,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,2019,4
1,Parent Grant,RIC-RE&D,2019-02-13T03:04:21.000Z,1,NotGiven,NotGiven,1,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,2019,2
0,Research Contract,Not supported,2016-05-27T02:30:40.000Z,1,0012e000002ZmnzAAC,NotGiven,0,Business Organization,Energy & Utilities,Energy & Utilities,SME (small to medium enterprise),1,0,2016,5
0,Consultancy (Non-research),RIC RE&D and BD&I,2016-05-23T06:35:27.000Z,1,NotGiven,NotGiven,0,Business Organization,Agriculture & Horticulture,Agriculture & Horticulture,Not for profit,1,0,2016,5
0,Consultancy (Non-research),RIC RE&D and BD&I,2016-05-23T03:32:44.000Z,1,NotGiven,NotGiven,0,Business Organization,Agriculture & Horticulture,Agriculture & Horticulture,Not for profit,1,0,2016,5
0,Research Contract,RIC RE&D and BD&I,2016-05-05T06:15:47.000Z,1,NotGiven,NotGiven,0,Business Organization,Agriculture & Horticulture,Agriculture & Horticulture,Not for profit,1,0,2016,5
0,Technology Transfer,RIC RE&D and BD&I,2016-04-22T05:12:39.000Z,1,NotGiven,NotGiven,0,Business Organization,Mining & Refining,Mining & Refining,SME (small to medium enterprise),1,0,2016,4
0,Research Contract,RIC RE&D and BD&I,2016-05-06T04:44:31.000Z,1,NotGiven,NotGiven,0,Business Organization,Agriculture & Horticulture,Agriculture & Horticulture,PFRO (Publicly-Funded Research Organisation),1,0,2016,5
0,Research Contract,RIC RE&D and BD&I,2015-11-18T04:38:08.000Z,1,NotGiven,NotGiven,0,Business Organization,Technology: IT & Telephone Services,Technology: IT & Telephone Services,SME (small to medium enterprise),1,1,2015,11
0,Research Contract,RIC RE&D and BD&I,2016-05-25T04:31:14.000Z,1,NotGiven,NotGiven,0,Business Organization,Services,Business & Professional,SME (small to medium enterprise),1,0,2016,5
0,Consultancy (Non-research),RIC RE&D and BD&I,2016-08-23T00:09:49.000Z,1,0012e000002ZmnxAAC,NotGiven,0,Business Organization,Manufacturing & R&D,Food & Beverage,Multinational / Other Large Corporate,1,0,2016,8
0,Research Contract,Not supported,2019-03-13T03:15:50.000Z,1,0012e000002ZmnxAAC,0012e000002YmVtAAK,0,Business Organization,Services,Community,Not for profit,1,0,2019,3
0,Research Contract,Not supported,2019-03-18T04:28:04.000Z,1,0012e000002ZLgIAAW,NotGiven,0,Business Organization,Services,Community,Not for profit,1,0,2019,3
0,Research Contract,RIC-BD&I,2019-01-06T23:46:23.000Z,1,0012e000002ZNYOAA4,0012e000002YmNRAA0,0,Business Organization,Services,Entertainment & Creative Industries,SME (small to medium enterprise),1,0,2019,1
0,Custom Education (MSPACE Included),RIC-BD&I,2017-11-02T01:25:52.000Z,1,0012e000002ZmnzAAC,0012e000002Z3p1AAC,0,Business Organization,Health,Medical Devices,SME (small to medium enterprise),1,0,2017,11
0,Custom Education (MSPACE Included),Not supported,2018-11-19T02:22:46.000Z,1,0012e000002ZNYOAA4,0012e000002YlvyAAC,0,Business Organization,Services,Entertainment & Creative Industries,Government: International,1,0,2018,11
0,Custom Education (MSPACE Included),Not supported,2018-06-12T23:30:49.000Z,1,NotGiven,NotGiven,0,Business Organization,Services,Education,Not for profit,1,0,2018,6
0,Consultancy (Non-research),RIC RE&D and BD&I,2016-02-04T01:06:48.000Z,1,0012e000002ZNYOAA4,0012e000002Z4oNAAS,0,Business Organization,Services,Community,Government: Australia: Local & State,1,0,2016,2
0,Custom Education (MSPACE Included),RIC-BD&I,2017-09-11T05:07:18.000Z,1,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Business Organization,Services,Engineering and Scientific,Not for profit,1,0,2017,9
0,Research Contract,RIC-BD&I,2017-06-22T04:45:09.000Z,1,0012e000002ZNYOAA4,0012e000002YmNRAA0,0,Business Organization,Services,Engineering and Scientific,Government: Australia: Federal,1,0,2017,6
0,Custom Education (MSPACE Included),RIC RE&D and BD&I,2018-06-12T04:42:53.000Z,1,NotGiven,NotGiven,0,Business Organization,Services,Education,University,1,0,2018,6
0,Custom Education (MSPACE Included),RIC-BD&I,2017-08-03T01:36:30.000Z,1,0012e000002ZNYOAA4,NotGiven,0,Business Organization,Services,Education,University,1,0,2017,8
0,Research Contract,RIC RE&D and BD&I,2017-08-23T02:18:58.000Z,1,0012e000002ZNYOAA4,0012e000002Z3OuAAK,0,Business Organization,Manufacturing & R&D,Consumer Goods,SME (small to medium enterprise),1,0,2017,8
0,Custom Education (MSPACE Included),RIC-BD&I,2017-09-15T04:41:48.000Z,1,0012e000002ZLgJAAW,NotGiven,0,Business Organization,Services,Business & Professional,Multinational / Other Large Corporate,1,0,2017,9
0,Custom Education (MSPACE Included),RIC RE&D and BD&I,2016-06-01T06:31:24.000Z,1,0012e000002ZNYOAA4,0012e000002YmNRAA0,0,University Department,Education,Education,Not for profit,0,1,2016,6
0,Custom Education (MSPACE Included),RIC-BD&I,2017-06-22T01:53:49.000Z,1,0012e000002ZNYOAA4,NotGiven,0,Business Organization,Services,Education,PFRO (Publicly-Funded Research Organisation),1,0,2017,6
0,Custom Education (MSPACE Included),RIC RE&D and BD&I,2017-05-09T06:26:42.000Z,1,0012e000002ZNYOAA4,0012e000002YmNRAA0,0,University Department,Education,Education,Not for profit,0,1,2017,5
0,Custom Education (MSPACE Included),RIC-BD&I,2016-09-22T02:03:05.000Z,1,0012e000002ZmOZAA0,0012e000002Z51eAAC,0,Business Organization,Services,Education,University,1,0,2016,9
0,Research Contract,RIC RE&D and BD&I,2016-06-01T06:17:28.000Z,1,0012e000002ZNYOAA4,0012e000002Z4IxAAK,0,University Department,Education,Education,Not for profit,0,1,2016,6
0,Custom Education (MSPACE Included),RIC-BD&I,2016-07-28T07:50:33.000Z,1,0012e000002ZGfbAAG,0012e000002Zt1FAAS,0,Business Organization,Services,Education,University,1,0,2016,7
0,Custom Education (MSPACE Included),Not supported,2018-01-22T00:12:49.000Z,1,0012e000002ZNYOAA4,0012e000002Z3OuAAK,0,University Department,Education,Education,Not for profit,0,1,2018,1
0,Research Contract,RIC-BD&I,2018-06-20T05:31:07.000Z,1,NotGiven,NotGiven,0,Business Organization,Services,Business & Professional,SME (small to medium enterprise),1,0,2018,6
0,Custom Education (MSPACE Included),RIC RE&D and BD&I,2017-04-28T04:09:27.000Z,1,0012e000002ZNYOAA4,0012e000002YlvyAAC,0,University Department,Education,Education,Not for profit,0,1,2017,4
0,Research Contract,RIC-BD&I,2018-07-29T23:27:10.000Z,1,0012e000002ZLgIAAW,NotGiven,0,Business Organization,Construction & Construction Materials,Construction & Construction Materials,Large Australian Corporate,1,0,2018,7
0,Custom Education (MSPACE Included),Not supported,2018-01-22T00:11:00.000Z,1,0012e000002ZNYOAA4,0012e000002YlvyAAC,0,University Department,Education,Education,Not for profit,0,1,2018,1
0,Research Contract,RIC RE&D and BD&I,2015-12-04T01:38:08.000Z,1,0012e000002ZmnxAAC,NotGiven,0,Business Organization,Energy & Utilities,Energy & Utilities,Government: Australia: Local & State,1,1,2015,12
0,Custom Education (MSPACE Included),RIC RE&D and BD&I,2017-08-27T10:47:44.000Z,1,0012e000002ZNYOAA4,0012e000002Z4IxAAK,0,University Department,Education,Education,Not for profit,0,1,2017,8
0,Custom Education (MSPACE Included),RIC RE&D and BD&I,2016-02-03T22:45:38.000Z,1,0012e000002ZNYOAA4,0012e000002Z3OuAAK,0,University Department,Education,Education,Not for profit,0,1,2016,2
0,Custom Education (MSPACE Included),RIC RE&D and BD&I,2017-10-23T22:54:26.000Z,1,0012e000002ZNYOAA4,0012e000002YlvyAAC,0,University Department,Education,Education,Not for profit,0,1,2017,10
0,Internship,RIC RE&D and BD&I,2016-06-01T11:24:39.000Z,1,0012e000002ZNYOAA4,NotGiven,0,University Department,Education,Education,Not for profit,0,1,2016,6
0,Consultancy (Non-research),RIC RE&D and BD&I,2017-09-26T11:11:45.000Z,1,0012e000002ZNYOAA4,NotGiven,0,University Department,Education,Education,Not for profit,0,1,2017,9
0,Research Contract,RIC RE&D and BD&I,2016-06-01T11:25:43.000Z,1,0012e000002ZNYOAA4,NotGiven,0,University Department,Education,Education,Not for profit,0,1,2016,6
0,Consultancy (Non-research),RIC RE&D and BD&I,2016-06-01T11:28:41.000Z,1,0012e000002ZNYOAA4,NotGiven,0,University Department,Education,Education,Not for profit,0,1,2016,6
0,Custom Education (MSPACE Included),RIC RE&D and BD&I,2016-06-01T11:33:42.000Z,1,0012e000002ZNYOAA4,NotGiven,0,University Department,Education,Education,Not for profit,0,1,2016,6
0,Sponsorship,Not supported,2018-08-23T01:18:07.000Z,1,NotGiven,NotGiven,0,Business Organization,Services,Education,University,1,0,2018,8
0,Research Contract,RIC-BD&I,2017-04-21T06:33:08.000Z,1,0012e000002ZNYOAA4,0012e000002YmNRAA0,0,Business Organization,Services,Community,SME (small to medium enterprise),1,0,2017,4
0,Research Contract,Not supported,2018-07-11T05:56:19.000Z,1,0012e000002ZNYOAA4,0012e000002Z4IxAAK,0,Business Organization,Services,Education,University,1,0,2018,7
0,Research Contract,Not supported,2018-07-11T05:38:17.000Z,1,NotGiven,NotGiven,0,Business Organization,Services,Education,University,1,0,2018,7
0,Research Contract,RIC RE&D and BD&I,2017-07-18T00:39:49.000Z,1,NotGiven,NotGiven,0,Business Organization,Services,Education,Not for profit,1,0,2017,7
0,Grants,RIC RE&D and BD&I,2018-08-27T04:00:48.000Z,1,0012e000002ZNYOAA4,0012e000002Z3OuAAK,0,Business Organization,Services,Education,Not for profit,1,0,2018,8
0,Research Contract,Not supported,2018-03-12T00:23:36.000Z,1,NotGiven,NotGiven,0,Business Organization,Energy & Utilities,Energy & Utilities,Not for profit,1,0,2018,3
0,Research Contract,Not supported,2018-07-11T05:48:31.000Z,1,NotGiven,NotGiven,0,Business Organization,Services,Education,University,1,0,2018,7
0,Research Contract,Not supported,2018-03-11T23:58:22.000Z,1,NotGiven,NotGiven,0,Business Organization,Services,Financial & Insurance,Multinational / Other Large Corporate,1,0,2018,3
0,Research Contract,RIC-BD&I,2019-06-06T01:37:39.000Z,1,0012e000002ZNYOAA4,0012e000002YmNRAA0,0,Business Organization,Technology: IT & Telephone Services,Technology: IT & Telephone Services,Multinational / Other Large Corporate,1,0,2019,6
0,Research Contract,RIC RE&D and BD&I,2017-12-11T05:05:20.000Z,1,0012e000002ZNYOAA4,NotGiven,0,Business Organization,Services,Entertainment & Creative Industries,Government: Australia: Local & State,1,0,2017,12
0,Research Contract,Not supported,2018-03-20T23:22:58.000Z,1,0012e000002ZNYOAA4,0012e000002Z3OuAAK,0,Business Organization,Services,Education,Not for profit,1,0,2018,3
0,Internship,RIC-RE&D,2019-06-21T01:58:40.000Z,1,0012e000002ZmnxAAC,0012e000002Ym9QAAS,0,Business Organization,Health,Biotechnology (non-Pharma),Large Australian Corporate,1,0,2019,6
0,Internship,RIC-RE&D,2019-01-21T02:38:48.000Z,1,0012e000002ZLg7AAG,NotGiven,0,Business Organization,Health,Biotechnology (non-Pharma),Large Australian Corporate,1,0,2019,1
0,Research Contract,RIC RE&D and BD&I,2018-11-05T00:20:11.000Z,1,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Business Organization,Health,Pharmaceuticals,Multinational / Other Large Corporate,1,0,2018,11
0,Research Contract,RIC-RE&D,2018-08-09T02:07:25.000Z,1,NotGiven,NotGiven,0,Business Organization,Public Administration,Public Administration,Government: Australia: Local & State,1,0,2018,8
0,Custom Education (MSPACE Included),RIC-BD&I,2019-04-17T03:02:14.000Z,1,0012e000002ZLgJAAW,NotGiven,0,Business Organization,Transportation & Logistics,Transportation & Logistics,Government: Australia: Local & State,1,0,2019,4
0,Research Contract,RIC-RE&D,2019-07-05T06:24:37.000Z,1,NotGiven,NotGiven,0,Business Organization,Services,Community,Government: Australia: Local & State,1,0,2019,7
0,Custom Education (MSPACE Included),Not supported,2018-11-12T00:03:00.000Z,1,NotGiven,NotGiven,0,Business Organization,Public Administration,Public Administration,Government: International,1,0,2018,11
0,Custom Education (MSPACE Included),Not supported,2019-01-11T04:25:20.000Z,1,NotGiven,NotGiven,0,Business Organization,Services,Community,Government: Australia: Local & State,1,0,2019,1
0,Research Contract,RIC-BD&I,2019-10-24T05:43:11.000Z,1,0012e000002ZmnxAAC,0012e000002YmVtAAK,0,Business Organization,Defence,Defence,Government: Australia: Federal,1,0,2019,10
0,Custom Education (MSPACE Included),Not supported,2018-07-16T08:16:10.000Z,1,0012e000002Zt1RAAS,0012e000002YnrYAAS,0,Business Organization,Services,Entertainment & Creative Industries,SME (small to medium enterprise),1,0,2018,7
