outcome,Opptype,Supppoted,days_diff,closeDate_month,createDate_month,closeDate_year,createDate_year,act_amt,act_proj,lead_faculty,f_parent_opp,AccountType,Industry,BusinessType,Country,Internal_External,f_parent
Closed Lost,Research Contract,RIC-BD&I,56,2,12,2019,2018,0.0,0,Missing Faculty,0,Business Organization,Services,Government: Australia: Local & State,Australia,External,1.0
Closed Lost,Research Contract,RIC RE&D and BD&I,77,12,10,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Services,Government: Australia: Local & State,Australia,External,1.0
Closed Lost,Research Contract,RIC-BD&I,161,5,12,2019,2018,0.0,0,Missing Faculty,0,Business Organization,Services,Government: Australia: Local & State,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,77,12,10,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Services,Government: Australia: Local & State,Australia,External,1.0
Closed Lost,Research Contract,RIC-BD&I,129,5,1,2019,2019,0.0,0,Missing Faculty,0,Business Organization,Services,Government: Australia: Local & State,Australia,External,1.0
Closed Lost,Research Contract,RIC RE&D and BD&I,53,12,10,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Services,Government: Australia: Local & State,Australia,External,1.0
Closed Lost,Research Contract,RIC RE&D and BD&I,15,12,12,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Services,Government: Australia: Local & State,Australia,External,1.0
Closed Lost,Custom Education (MSPACE Included),RIC RE&D and BD&I,8,11,11,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Health,Government: Australia: Local & State,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,108,12,8,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Services,Government: Australia: Local & State,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,7,12,12,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Health,Government: Australia: Federal,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,101,12,9,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Services,Government: Australia: Local & State,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,70,12,10,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Services,Government: Australia: Local & State,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,4,10,10,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Services,Government: Australia: Local & State,Australia,External,0.0
Closed Lost,Consultancy (Non-research),RIC-BD&I,2,1,1,2019,2019,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Defence,Government: Australia: Federal,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,105,12,9,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Defence,Government: Australia: Federal,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,49,12,10,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Services,Government: Australia: Local & State,Australia,External,0.0
Closed Lost,Custom Education (MSPACE Included),RIC-BD&I,4,2,2,2019,2019,0.0,0,Missing Faculty,0,Business Organization,Public Administration,Government: Australia: Federal,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,22,12,11,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Health,Government: Australia: Local & State,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,5,10,10,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Public Administration,PFRO (Publicly-Funded Research Organisation),Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,19,12,11,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Health,Government: Australia: Local & State,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,90,12,9,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Public Administration,Government: Australia: Local & State,Australia,External,1.0
Closed Lost,Research Contract,RIC RE&D and BD&I,67,12,10,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Public Administration,Government: Australia: Local & State,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,19,12,11,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Services,Government: Australia: Local & State,Australia,External,1.0
Closed Lost,Research Contract,RIC RE&D and BD&I,75,12,10,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Agriculture & Horticulture,Government: Australia: Federal,Australia,External,0.0
Closed Lost,Research Contract,RIC-BD&I,139,5,1,2019,2019,0.0,0,Missing Faculty,0,Business Organization,Public Administration,Government: Australia: Federal,Australia,External,1.0
Closed Lost,Research Contract,RIC RE&D and BD&I,14,12,12,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Services,Government: Australia: Local & State,Australia,External,0.0
