Id,StageName,RecordType.Name,RICE_Supported__c,Lead_Faculty__c,Lead_School__c,Parent_Opportunity__c,Industry,Industry_Sub_Type__c,Business_Type__c,Is_External__c,ParentId,tasks_events,CreatedYear,CreatedMonth,days,oppo_busi,fac_oppo,oppo_Industry,RN,f_won_before
0062e000002HFauAAG,Submitting,Parent Grant,NotGiven,NotGiven,NotGiven,0,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,0,2019,6,11169,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantHealth,2,0
0062e000002HFayAAG,Awaiting Results,Parent Grant,NotGiven,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,0,2019,6,11159,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantPublic Administration,5,0
0062e000002HFbAAAW,Submitting,Parent Grant,RIC-RE&D,NotGiven,NotGiven,1,Public Administration,Public Administration,Government: Australia: Federal,1,1,0,2019,6,11159,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantPublic Administration,6,0
0062e000002HFbBAAW,Awaiting Results,Parent Grant,RIC-RE&D,NotGiven,NotGiven,1,Public Administration,Public Administration,Government: Australia: Federal,1,1,0,2019,6,11159,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantPublic Administration,7,0
0062e000002HFbCAAW,Awaiting Results,Parent Grant,RIC-RE&D,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,0,2019,8,311,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantPublic Administration,12,0
0062e000002HFbEAAW,Awaiting Results,Parent Grant,NotGiven,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,0,2019,7,11133,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantPublic Administration,10,0
0062e000002HFbFAAW,Submitting,Parent Grant,NotGiven,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,0,2019,5,11188,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantPublic Administration,3,0
0062e000002HFbGAAW,Submitting,Parent Grant,NotGiven,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,0,2019,5,11188,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantPublic Administration,4,0
0062e000002HFbKAAW,Submitting,Parent Grant,NotGiven,NotGiven,NotGiven,0,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,0,2019,4,11230,Parent GrantGovernment: Australia: Federal,NotGivenParent Grant,Parent GrantHealth,2,0
0062e000002HFtlAAG,Proposing,Custom Education (MSPACE Included),RIC-BD&I,0012e000002ZNYOAA4,0012e000002YmNRAA0,0,Services,Education,University,1,0,0,2019,4,563,Custom Education (MSPACE Included)University,0012e000002ZNYOAA4Custom Education (MSPACE Included),Custom Education (MSPACE Included)Services,2,0
0062e000002HFuKAAW,Identifying,Panel,Not supported,0012e000002ZNYOAA4,0012e000002YlvyAAC,0,Services,Entertainment & Creative Industries,Government: Australia: Local & State,1,0,0,2019,7,119,PanelGovernment: Australia: Local & State,0012e000002ZNYOAA4Panel,PanelServices,1,0
0062e000002HFuNAAW,Identifying,Grants,RIC-RE&D,0012e000002ZLg7AAG,0012e000002Zt0cAAC,0,Defence,Defence,Multinational / Other Large Corporate,1,0,0,2019,10,76,GrantsMultinational / Other Large Corporate,0012e000002ZLg7AAGGrants,GrantsDefence,1,0
0062e000002HFupAAG,Awaiting Results,Grants,RIC-BD&I,0012e000002Zt1RAAS,0012e000002YnrYAAS,1,Services,Education,University,1,0,0,2019,10,70,GrantsUniversity,0012e000002Zt1RAASGrants,GrantsServices,4,0
0062e000002HFuvAAG,Developing,Custom Education (MSPACE Included),RIC-BD&I,0012e000002Zt1RAAS,0012e000002YnrYAAS,0,Public Administration,Public Administration,Government: Australia: Local & State,1,1,0,2019,10,336,Custom Education (MSPACE Included)Government: Australia: Local & State,0012e000002Zt1RAASCustom Education (MSPACE Included),Custom Education (MSPACE Included)Public Administration,1,0
0062e000002HFvbAAG,Identifying,Technology Transfer,RIC-BD&I,0012e000002ZGfbAAG,NotGiven,0,Health,Biotechnology (non-Pharma),Multinational / Other Large Corporate,1,0,0,2018,2,1095,Technology TransferMultinational / Other Large Corporate,0012e000002ZGfbAAGTechnology Transfer,Technology TransferHealth,1,0
0062e000002HFviAAG,Identifying,Custom Education (MSPACE Included),RIC-BD&I,NotGiven,NotGiven,0,Services,Education,Not for profit,1,0,0,2019,3,845,Custom Education (MSPACE Included)Not for profit,NotGivenCustom Education (MSPACE Included),Custom Education (MSPACE Included)Services,1,0
0062e000002HFvZAAW,Identifying,Research Contract,Not supported,0012e000002ZLg7AAG,0012e000002Z3pPAAS,0,Manufacturing & R&D,Consumer Goods,SME (small to medium enterprise),1,0,0,2018,6,494,Research ContractSME (small to medium enterprise),0012e000002ZLg7AAGResearch Contract,Research ContractManufacturing & R&D,1,0
0062e000002HFw3AAG,Identifying,Research Contract,RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Health,Pharmaceuticals,Large Australian Corporate,1,0,0,2018,11,757,Research ContractLarge Australian Corporate,0012e000002ZGfbAAGResearch Contract,Research ContractHealth,1,0
0062e000002HFw8AAG,Identifying,Research Contract,Not supported,0012e000002ZGfbAAG,0012e000002Z6AWAA0,0,Technology: IT & Telephone Services,Technology: IT & Telephone Services,SME (small to medium enterprise),1,0,0,2019,5,772,Research ContractSME (small to medium enterprise),0012e000002ZGfbAAGResearch Contract,Research ContractTechnology: IT & Telephone Services,1,0
