outcome,Opptype,Supppoted,days_diff,closeDate_month,createDate_month,closeDate_year,createDate_year,act_amt,act_proj,lead_faculty,f_parent_opp,RN,f_won_before,Industry,BusinessType,Internal_External,f_Australia,f_parent,faculty_opptype,opptype_business
0,Research Contract,RIC-BD&I,56,2,12,2019,2018,0,0,0012e000002Zmo0AAC,0,112,1,Services,Government: Australia: Local & State,External,1,1,Research Contract0012e000002Zmo0AAC,Research ContractGovernment: Australia: Local & State
0,Research Contract,RIC RE&D and BD&I,77,12,10,2018,2018,0,0,0012e000002Zmo0AAC,0,101,1,Services,Government: Australia: Local & State,External,1,1,Research Contract0012e000002Zmo0AAC,Research ContractGovernment: Australia: Local & State
0,Research Contract,RIC-BD&I,161,5,12,2019,2018,0,0,0012e000002Zmo0AAC,0,17,1,Services,Government: Australia: Local & State,External,1,0,Research Contract0012e000002Zmo0AAC,Research ContractGovernment: Australia: Local & State
0,Research Contract,RIC RE&D and BD&I,77,12,10,2018,2018,0,0,0012e000002Zmo0AAC,0,102,1,Services,Government: Australia: Local & State,External,1,1,Research Contract0012e000002Zmo0AAC,Research ContractGovernment: Australia: Local & State
0,Research Contract,RIC-BD&I,129,5,1,2019,2019,0,0,0012e000002Zmo0AAC,0,115,1,Services,Government: Australia: Local & State,External,1,1,Research Contract0012e000002Zmo0AAC,Research ContractGovernment: Australia: Local & State
0,Research Contract,RIC RE&D and BD&I,53,12,10,2018,2018,0,0,0012e000002Zmo0AAC,0,105,1,Services,Government: Australia: Local & State,External,1,1,Research Contract0012e000002Zmo0AAC,Research ContractGovernment: Australia: Local & State
0,Research Contract,RIC RE&D and BD&I,15,12,12,2018,2018,0,0,0012e000002Zmo0AAC,0,108,1,Services,Government: Australia: Local & State,External,1,1,Research Contract0012e000002Zmo0AAC,Research ContractGovernment: Australia: Local & State
0,Custom Education (MSPACE Included),RIC RE&D and BD&I,8,11,11,2018,2018,0,0,0012e000002ZGfbAAG,0,3,0,Health,Government: Australia: Local & State,External,1,0,Custom Education (MSPACE Included)0012e000002ZGfbAAG,Custom Education (MSPACE Included)Government: Australia: Local & State
0,Research Contract,RIC RE&D and BD&I,108,12,8,2018,2018,0,0,0012e000002Zmo0AAC,0,1,0,Services,Government: Australia: Local & State,External,1,0,Research Contract0012e000002Zmo0AAC,Research ContractGovernment: Australia: Local & State
0,Research Contract,RIC RE&D and BD&I,7,12,12,2018,2018,0,0,0012e000002ZGfbAAG,0,25,1,Health,Government: Australia: Federal,External,1,0,Research Contract0012e000002ZGfbAAG,Research ContractGovernment: Australia: Federal
0,Research Contract,RIC RE&D and BD&I,101,12,9,2018,2018,0,0,0012e000002Zmo0AAC,0,1,0,Services,Government: Australia: Local & State,External,1,0,Research Contract0012e000002Zmo0AAC,Research ContractGovernment: Australia: Local & State
0,Research Contract,RIC RE&D and BD&I,70,12,10,2018,2018,0,0,0012e000002Zmo0AAC,0,1,0,Services,Government: Australia: Local & State,External,1,0,Research Contract0012e000002Zmo0AAC,Research ContractGovernment: Australia: Local & State
0,Research Contract,RIC RE&D and BD&I,4,10,10,2018,2018,0,0,0012e000002Zmo0AAC,0,1,0,Services,Government: Australia: Local & State,External,1,0,Research Contract0012e000002Zmo0AAC,Research ContractGovernment: Australia: Local & State
0,Consultancy (Non-research),RIC-BD&I,2,1,1,2019,2019,0,0,0012e000002ZLg7AAG,0,13,1,Defence,Government: Australia: Federal,External,1,0,Consultancy (Non-research)0012e000002ZLg7AAG,Consultancy (Non-research)Government: Australia: Federal
0,Research Contract,RIC RE&D and BD&I,105,12,9,2018,2018,0,0,0012e000002ZLg7AAG,0,11,1,Defence,Government: Australia: Federal,External,1,0,Research Contract0012e000002ZLg7AAG,Research ContractGovernment: Australia: Federal
0,Research Contract,RIC RE&D and BD&I,49,12,10,2018,2018,0,0,0012e000002Zmo0AAC,0,8,1,Services,Government: Australia: Local & State,External,1,0,Research Contract0012e000002Zmo0AAC,Research ContractGovernment: Australia: Local & State
0,Custom Education (MSPACE Included),RIC-BD&I,4,2,2,2019,2019,0,0,0012e000002ZLg7AAG,0,3,0,Public Administration,Government: Australia: Federal,External,1,0,Custom Education (MSPACE Included)0012e000002ZLg7AAG,Custom Education (MSPACE Included)Government: Australia: Federal
0,Research Contract,RIC RE&D and BD&I,22,12,11,2018,2018,0,0,0012e000002ZGfbAAG,0,1,0,Health,Government: Australia: Local & State,External,1,0,Research Contract0012e000002ZGfbAAG,Research ContractGovernment: Australia: Local & State
0,Research Contract,RIC RE&D and BD&I,5,10,10,2018,2018,0,0,0012e000002ZLg7AAG,0,1,0,Public Administration,PFRO (Publicly-Funded Research Organisation),External,1,0,Research Contract0012e000002ZLg7AAG,Research ContractPFRO (Publicly-Funded Research Organisation)
0,Research Contract,RIC RE&D and BD&I,19,12,11,2018,2018,0,0,0012e000002ZGfbAAG,0,10,0,Health,Government: Australia: Local & State,External,1,0,Research Contract0012e000002ZGfbAAG,Research ContractGovernment: Australia: Local & State
0,Research Contract,RIC RE&D and BD&I,90,12,9,2018,2018,0,0,0012e000002ZLg7AAG,0,2,1,Public Administration,Government: Australia: Local & State,External,1,1,Research Contract0012e000002ZLg7AAG,Research ContractGovernment: Australia: Local & State
0,Research Contract,RIC RE&D and BD&I,67,12,10,2018,2018,0,0,0012e000002ZLg7AAG,0,7,1,Public Administration,Government: Australia: Local & State,External,1,0,Research Contract0012e000002ZLg7AAG,Research ContractGovernment: Australia: Local & State
0,Research Contract,RIC RE&D and BD&I,19,12,11,2018,2018,0,0,0012e000002Zmo0AAC,0,16,1,Services,Government: Australia: Local & State,External,1,1,Research Contract0012e000002Zmo0AAC,Research ContractGovernment: Australia: Local & State
0,Research Contract,RIC RE&D and BD&I,75,12,10,2018,2018,0,0,0012e000002ZmnzAAC,0,4,0,Agriculture & Horticulture,Government: Australia: Federal,External,1,0,Research Contract0012e000002ZmnzAAC,Research ContractGovernment: Australia: Federal
